feature,importance
fe_group_last_key_ID_D_53,7.806233273949248e-05
fe_recentDiff_interval_2_D_39,7.670836392748015e-05
fe_group_min_key_ID_D_52,7.60690998611313e-05
fe_freq_enc_fe_group_last_key_ID_D_106,7.568239967986612e-05
fe_group_mean_key_ID_R_4,7.536648984851624e-05
fe_group_max_key_ID_D_128,7.527046108551927e-05
fe_rollingMean_window_6_D_78,7.523186464636344e-05
fe_freq_enc_fe_group_last_key_ID_D_39,7.513029359956791e-05
fe_group_max_key_ID_R_10,7.487627228330851e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_114,7.474542216667768e-05
fe_nullCount_D_42,7.461530167335306e-05
fe_tar_enc_smoothing_fe_group_min_key_ID_R_3,7.45495632847315e-05
fe_recentDiff_interval_2_B_26,7.247228166046282e-05
fe_recentDiff_interval_1_D_132,7.224901622493451e-05
fe_group_min_key_ID_B_18,7.201630007891424e-05
fe_group_min_key_ID_B_7,7.101341716730936e-05
fe_group_mean_key_ID_D_49,7.089884870864482e-05
fe_rollingMean_window_6_D_128,7.020661873019529e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_R_5,6.973180824482172e-05
fe_rollingMean_window_6_B_8,6.921731719877755e-05
fe_freq_enc_fe_group_last_key_ID_R_5,6.906460013378357e-05
fe_freq_enc_fe_group_min_key_ID_R_26,6.90617598100296e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_D_49,6.875289528351924e-05
fe_group_last_key_ID_D_58,6.869327762809574e-05
fe_group_last_key_ID_D_84,6.799295182580156e-05
fe_rollingMean_window_6_B_3,6.79553643692099e-05
fe_freq_enc_fe_kmean_cluster_id,6.69811854430713e-05
fe_group_last_key_ID_R_6,6.686188983473507e-05
fe_group_mean_key_ID_S_15,6.666093567153641e-05
fe_group_min_key_ID_D_47,6.664975384806926e-05
fe_group_last_key_ID_D_106,6.652305253335156e-05
fe_rollingMean_window_6_D_41,6.64999278560674e-05
fe_rollingMean_window_6_B_11,6.591771583019934e-05
fe_group_mean_key_ID_B_26,6.582137281363476e-05
fe_group_mean_key_ID_D_128,6.57792171468996e-05
fe_recentDiff_interval_2_B_28,6.564269801884182e-05
fe_group_mean_key_ID_B_19,6.558526914668406e-05
fe_group_mean_key_ID_B_17,6.556057838674745e-05
fe_recentDiff_interval_2_B_9,6.487015740919144e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_D_75,6.465744368089332e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_79,6.443038997255846e-05
fe_rollingMean_window_6_B_7,6.352571930845485e-05
fe_rollingMean_window_6_D_54,6.218335928581675e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_75,6.200546551593522e-05
fe_group_mean_key_ID_B_18,6.178187972405436e-05
fe_rollingMean_window_6_D_47,6.16910617591282e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_74,6.15244775319379e-05
fe_rollingMean_window_6_S_8,6.107102658864383e-05
fe_rollingMean_window_6_R_3,6.0063337394056227e-05
fe_group_mean_key_ID_D_75,5.986724789597275e-05
fe_group_mean_key_ID_B_23,5.882856282940496e-05
fe_nullCount_D_132,5.8604265078032736e-05
fe_group_mean_key_ID_D_81,5.8373543095402436e-05
fe_group_mean_key_ID_R_13,5.7914132611081026e-05
fe_group_last_key_ID_B_19,5.762253498531322e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_129,5.742774881917212e-05
fe_rollingMean_window_6_R_4,5.730401402492813e-05
fe_group_min_key_ID_R_26,5.709215703914028e-05
fe_rollingMean_window_6_B_26,5.661277288848687e-05
fe_group_max_key_ID_D_49,5.641924218779959e-05
fe_freq_enc_fe_group_last_key_ID_D_79,5.602201945914542e-05
fe_group_max_key_ID_R_11,5.5861729119754955e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_S_11,5.384355186660583e-05
fe_tar_enc_smoothing_fe_group_min_key_ID_S_11,5.34542751046696e-05
fe_freq_enc_fe_group_max_key_ID_D_81,5.261003725753888e-05
fe_group_mean_key_ID_R_11,5.253058665410926e-05
fe_recentDiff_interval_1_B_3,5.245727524688659e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_B_22,5.237236955141222e-05
fe_group_min_key_ID_D_112,5.223923566033406e-05
fe_group_min_key_ID_B_6,5.197599829603883e-05
fe_rollingMean_window_6_D_52,5.181418354971434e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_S_15,5.170154822259354e-05
fe_group_last_key_ID_B_25,5.1610324129036655e-05
